id,cluster
1632037,2
1632031,2
1632022,2
1632004,0
1631999,0
1631956,0
1631943,2
1631937,2
1631924,0
1631906,2
1631885,0
1631877,2
1631862,2
1631849,2
1631834,2
1631822,1
1631807,2
1631786,0
1631779,2
1631764,2
1631747,0
1631737,2
1631727,2
1631720,2
1631709,0
1631703,2
1631684,2
1631668,0
1631657,2
1631637,2
1631628,0
1631621,2
1631612,2
1631601,2
1631598,2
1631586,2
1631573,2
1631564,2
1631547,0
1631514,0
1631494,2
1631470,2
1631454,0
1631445,2
1631441,2
1631426,2
1631424,2
1631417,2
1631409,2
1631399,2
1631394,2
1631319,2
1631305,2
1631289,2
1631269,2
1631260,2
1631248,2
1631238,2
1631224,2
1631197,2
1631186,1
1631177,0
1631160,2
1631146,0
1631135,2
1631116,2
1631094,2
1631086,2
1631061,1
1631035,2
1631009,0
1631000,2
1630986,2
1630966,2
1630961,1
1630951,2
1630944,1
1630934,2
1630930,2
1630920,2
1630916,2
1630910,2
1630898,2
1630882,2
1630871,2
1630855,2
1630840,2
1630826,2
1630817,0
1630809,2
1630802,1
1630788,1
1630778,2
1630768,2
1630758,0
1630744,2
1630739,1
1630678,2
1630668,0
1630663,2
1630650,2
1630637,1
1630620,2
1630610,0
1630603,0
1630595,2
1630583,2
1630571,2
1630556,0
1630543,0
1630529,2
1630514,0
1630505,2
1630491,0
1630478,2
1630466,2
1630452,2
1630444,2
1630422,0
1630401,1
1630379,1
1630361,1
1630338,0
1630316,2
1630303,1
1630296,2
1630262,0
1630241,2
1630224,2
1630201,2
1630190,0
1630181,0
1630171,0
1630153,2
1630131,2
1630123,2
1630100,2
1630090,0
1630076,1
1630070,2
1630058,2
1630054,0
1629968,0
1629952,1
1629925,0
1629892,1
1629881,0
1629869,0
1629855,2
1629834,0
1629824,2
1629808,0
1629790,0
1629780,1
1629770,0
1629762,2
1629750,0
1629724,2
1629710,2
1629696,2
1629673,1
1629658,2
1629644,2
1629620,2
1629594,0
1629575,2
1629557,2
1629532,0
1629507,0
1629492,2
1629458,0
1629451,0
1629431,1
1629412,2
1629390,2
1629376,1
1629363,2
1629344,2
1629328,0
1629305,2
1629286,2
1629276,2
1629260,2
1629251,2
1629225,2
1629218,2
1629206,0
1629204,0
1629144,2
1629138,2
1629122,2
1629115,2
1629101,2
1629083,2
1629067,0
1629057,2
1629048,2
1629043,2
1629033,0
