id,emotion
1632037,negative
1632031,neutral
1632022,neutral
1632004,positive
1631999,negative
1631956,positive
1631943,neutral
1631937,negative
1631924,negative
1631906,neutral
1631885,positive
1631877,neutral
1631862,negative
1631849,negative
1631834,positive
1631822,neutral
1631807,neutral
1631786,negative
1631779,negative
1631764,negative
1631747,positive
1631737,neutral
1631727,neutral
1631720,negative
1631709,negative
1631703,positive
1631684,neutral
1631668,neutral
1631657,positive
1631637,positive
1631628,neutral
1631621,negative
1631612,neutral
1631601,neutral
1631598,negative
1631586,negative
1631573,neutral
1631564,positive
1631547,positive
1631514,negative
1631494,neutral
1631470,neutral
1631454,negative
1631445,positive
1631441,neutral
1631426,negative
1631424,negative
1631417,neutral
1631409,neutral
1631399,neutral
1631394,negative
1631319,neutral
1631305,neutral
1631289,neutral
1631269,negative
1631260,negative
1631248,neutral
1631238,neutral
1631224,negative
1631197,neutral
1631186,neutral
1631177,negative
1631160,neutral
1631146,positive
1631135,negative
1631116,neutral
1631094,negative
1631086,negative
1631061,negative
1631035,positive
1631009,neutral
1631000,negative
1630986,neutral
1630966,negative
1630961,negative
1630951,negative
1630944,neutral
1630934,positive
1630930,negative
1630920,negative
1630916,negative
1630910,negative
1630898,negative
1630882,negative
1630871,negative
1630855,neutral
1630840,negative
1630826,neutral
1630817,neutral
1630809,neutral
1630802,negative
1630788,neutral
1630778,negative
1630768,neutral
1630758,neutral
1630744,negative
1630739,neutral
1630678,neutral
1630668,negative
1630663,neutral
1630650,neutral
1630637,negative
1630620,negative
1630610,neutral
1630603,negative
1630595,negative
1630583,neutral
1630571,negative
1630556,neutral
1630543,neutral
1630529,negative
1630514,neutral
1630505,negative
1630491,neutral
1630478,negative
1630466,neutral
1630452,negative
1630444,neutral
1630422,negative
1630401,negative
1630379,negative
1630361,negative
1630338,neutral
1630316,positive
1630303,negative
1630296,neutral
1630262,negative
1630241,neutral
1630224,neutral
1630201,negative
1630190,negative
1630181,negative
1630171,neutral
1630153,negative
1630131,neutral
1630123,negative
1630100,neutral
1630090,negative
1630076,neutral
1630070,negative
1630058,negative
1630054,positive
1629968,neutral
1629952,negative
1629925,positive
1629892,negative
1629881,negative
1629869,negative
1629855,negative
1629834,negative
1629824,negative
1629808,neutral
1629790,neutral
1629780,positive
1629770,negative
1629762,neutral
1629750,negative
1629724,negative
1629710,negative
1629696,positive
1629673,negative
1629658,negative
1629644,negative
1629620,neutral
1629594,neutral
1629575,neutral
1629557,negative
1629532,positive
1629507,negative
1629492,negative
1629458,negative
1629451,neutral
1629431,negative
1629412,neutral
1629390,negative
1629376,negative
1629363,neutral
1629344,negative
1629328,negative
1629305,neutral
1629286,neutral
1629276,positive
1629260,neutral
1629251,negative
1629225,negative
1629218,negative
1629206,negative
1629204,neutral
1629144,positive
1629138,negative
1629122,negative
1629115,negative
1629101,neutral
1629083,negative
1629067,negative
1629057,negative
1629048,neutral
1629043,negative
1629033,negative
1629024,positive
1629017,negative
1629006,negative
1628991,negative
1628976,neutral
1628960,negative
1628948,negative
1628942,neutral
1628934,neutral
1628928,positive
1628919,negative
1628905,neutral
1628891,negative
1628873,neutral
1628861,negative
1628847,negative
1628829,neutral
1628812,negative
1628800,positive
1628778,neutral
1628755,positive
1628741,negative
1628726,neutral
1628710,negative
1628680,neutral
1628656,negative
1628630,neutral
1628615,negative
1628598,positive
1628569,negative
1628556,neutral
1628551,neutral
1628543,negative
1628530,negative
1628521,neutral
1628449,negative
1628437,positive
1628427,negative
1628401,positive
1628389,negative
1628373,neutral
1628360,negative
1628343,positive
1628328,negative
1628318,negative
1628305,positive
1628292,negative
1628272,negative
1628263,positive
1628255,neutral
1628244,negative
1628234,negative
1628218,negative
1628199,negative
1628186,negative
1628172,negative
1628162,negative
1628147,neutral
1628134,negative
1628110,neutral
1628105,neutral
1628096,neutral
1628080,negative
1628065,negative
1628060,neutral
1628044,negative
1628026,positive
1628019,neutral
1628000,neutral
1627991,negative
1627980,neutral
1627958,negative
1627943,neutral
1627933,neutral
1627921,neutral
1627911,negative
1627903,neutral
1627888,negative
1627880,negative
1627867,negative
1627862,neutral
1627788,negative
1627781,positive
1627773,neutral
1627758,negative
1627744,neutral
1627733,negative
1627714,positive
1627703,negative
1627695,negative
1627682,neutral
1627671,neutral
1627661,positive
1627654,negative
1627642,negative
1627627,neutral
1627612,neutral
1627600,negative
1627585,negative
1627578,negative
1627571,neutral
1627563,positive
1627555,neutral
1627548,negative
1627535,negative
1627528,positive
1627524,neutral
1627510,neutral
1627496,neutral
1627488,negative
1627478,neutral
1627448,neutral
1627426,negative
1627415,negative
1627399,negative
1627381,negative
1627359,positive
1627337,positive
1627310,neutral
1627285,negative
