id,emotion
1632037,neutral
1632031,neutral
1632022,neutral
1632004,neutral
1631999,neutral
1631956,neutral
1631943,neutral
1631937,neutral
1631924,neutral
1631906,neutral
1631885,neutral
1631877,neutral
1631862,neutral
1631849,neutral
1631834,neutral
1631822,neutral
1631807,neutral
1631786,neutral
1631779,neutral
1631764,neutral
1631747,neutral
1631737,neutral
1631727,neutral
1631720,neutral
1631709,neutral
1631703,neutral
1631684,neutral
1631668,neutral
1631657,neutral
1631637,neutral
1631628,neutral
1631621,neutral
1631612,neutral
1631601,neutral
1631598,neutral
1631586,neutral
1631573,neutral
1631564,neutral
1631547,neutral
1631514,neutral
1631494,neutral
1631470,neutral
1631454,neutral
1631445,neutral
1631441,neutral
1631426,neutral
1631424,neutral
1631417,neutral
1631409,neutral
1631399,neutral
1631394,neutral
1631319,neutral
1631305,neutral
1631289,neutral
1631269,neutral
1631260,neutral
1631248,neutral
1631238,neutral
1631224,neutral
1631197,neutral
1631186,neutral
1631177,neutral
1631160,neutral
1631146,neutral
1631135,neutral
1631116,neutral
1631094,neutral
1631086,neutral
1631061,neutral
1631035,neutral
1631009,neutral
1631000,neutral
1630986,neutral
1630966,neutral
1630961,neutral
1630951,neutral
1630944,neutral
1630934,neutral
1630930,neutral
1630920,neutral
1630916,neutral
1630910,neutral
1630898,neutral
1630882,neutral
1630871,neutral
1630855,neutral
1630840,neutral
1630826,neutral
1630817,neutral
1630809,neutral
1630802,neutral
1630788,neutral
1630778,neutral
1630768,neutral
1630758,neutral
1630744,neutral
1630739,neutral
1630678,neutral
1630668,neutral
1630663,neutral
1630650,neutral
1630637,neutral
1630620,neutral
1630610,neutral
1630603,neutral
1630595,neutral
1630583,neutral
1630571,neutral
1630556,neutral
1630543,neutral
1630529,neutral
1630514,neutral
1630505,neutral
1630491,neutral
1630478,neutral
1630466,neutral
1630452,neutral
1630444,neutral
1630422,neutral
1630401,neutral
1630379,neutral
1630361,neutral
1630338,neutral
1630316,neutral
1630303,neutral
1630296,neutral
1630262,neutral
1630241,neutral
1630224,neutral
1630201,neutral
1630190,neutral
1630181,neutral
1630171,neutral
1630153,neutral
1630131,neutral
1630123,neutral
1630100,neutral
1630090,neutral
1630076,neutral
1630070,neutral
1630058,neutral
1630054,neutral
1629968,neutral
1629952,neutral
1629925,positive
1629892,neutral
1629881,neutral
1629869,neutral
1629855,neutral
1629834,neutral
1629824,neutral
1629808,neutral
1629790,neutral
1629780,neutral
1629770,neutral
1629762,neutral
1629750,neutral
1629724,neutral
1629710,neutral
1629696,neutral
1629673,neutral
1629658,neutral
1629644,neutral
1629620,neutral
1629594,positive
1629575,neutral
1629557,neutral
1629532,neutral
1629507,neutral
1629492,neutral
1629458,neutral
1629451,neutral
1629431,neutral
1629412,neutral
1629390,neutral
1629376,neutral
1629363,neutral
1629344,neutral
1629328,neutral
1629305,neutral
1629286,neutral
1629276,neutral
1629260,neutral
1629251,neutral
1629225,neutral
1629218,neutral
1629206,neutral
1629204,neutral
1629144,neutral
1629138,neutral
1629122,neutral
1629115,neutral
1629101,neutral
1629083,neutral
1629067,neutral
1629057,neutral
1629048,neutral
1629043,neutral
1629033,neutral
1629024,neutral
1629017,neutral
1629006,neutral
1628991,neutral
1628976,neutral
1628960,neutral
1628948,neutral
1628942,neutral
1628934,neutral
1628928,neutral
1628919,neutral
1628905,neutral
1628891,neutral
1628873,neutral
1628861,neutral
1628847,neutral
1628829,neutral
1628812,neutral
1628800,neutral
1628778,neutral
1628755,neutral
1628741,neutral
1628726,positive
1628710,neutral
1628680,neutral
1628656,neutral
1628630,neutral
1628615,neutral
1628598,neutral
1628569,neutral
1628556,neutral
1628551,neutral
1628543,neutral
1628530,neutral
1628521,neutral
1628449,neutral
1628437,neutral
1628427,neutral
1628401,neutral
1628389,neutral
1628373,neutral
1628360,neutral
1628343,neutral
1628328,neutral
1628318,neutral
1628305,neutral
1628292,neutral
1628272,neutral
1628263,neutral
1628255,neutral
1628244,neutral
1628234,neutral
1628218,neutral
1628199,neutral
1628186,neutral
1628172,neutral
1628162,neutral
1628147,neutral
1628134,neutral
1628110,neutral
1628105,neutral
1628096,neutral
1628080,positive
1628065,neutral
1628060,neutral
1628044,neutral
1628026,neutral
1628019,neutral
1628000,neutral
1627991,neutral
1627980,neutral
1627958,neutral
1627943,neutral
1627933,neutral
1627921,neutral
1627911,neutral
1627903,neutral
1627888,neutral
1627880,neutral
1627867,neutral
1627862,neutral
1627788,neutral
1627781,neutral
1627773,neutral
1627758,neutral
1627744,neutral
1627733,neutral
1627714,neutral
1627703,neutral
1627695,neutral
1627682,neutral
1627671,neutral
1627661,neutral
1627654,neutral
1627642,neutral
1627627,neutral
1627612,neutral
1627600,neutral
1627585,neutral
1627578,neutral
1627571,neutral
1627563,neutral
1627555,neutral
1627548,neutral
1627535,neutral
1627528,neutral
1627524,neutral
1627510,neutral
1627496,neutral
1627488,neutral
1627478,neutral
1627448,neutral
1627426,neutral
1627415,neutral
1627399,neutral
1627381,neutral
1627359,neutral
1627337,neutral
1627310,neutral
1627285,neutral
1627276,neutral
1627258,neutral
1627242,neutral
1627223,neutral
1627216,neutral
1627205,neutral
1627201,neutral
1627145,neutral
1627136,neutral
1627122,neutral
1627104,neutral
1627079,neutral
1627060,neutral
1627038,neutral
1627023,neutral
1627015,neutral
1626994,neutral
1626978,neutral
1626965,neutral
1626959,neutral
1626949,neutral
1626943,neutral
1626926,neutral
1626916,neutral
1626910,neutral
1626902,neutral
1626890,neutral
1626885,neutral
1626876,neutral
1626866,neutral
1626851,neutral
1626842,neutral
1626821,neutral
1626808,neutral
1626800,neutral
1626787,neutral
1626784,neutral
1626770,neutral
1626747,neutral
1626738,neutral
1626731,neutral
1626720,neutral
1626709,neutral
1626690,neutral
1626679,neutral
1626662,neutral
1626643,neutral
1626633,neutral
1626621,neutral
1626602,neutral
1626594,neutral
1626586,neutral
1626582,neutral
1626536,neutral
1626525,neutral
1626509,neutral
1626491,neutral
1626466,neutral
1626450,neutral
1626438,neutral
1626425,neutral
1626419,neutral
1626408,neutral
1626394,neutral
1626383,neutral
1626368,neutral
1626359,neutral
1626349,neutral
1626337,neutral
1626326,neutral
1626304,neutral
1626278,neutral
1626263,neutral
1626255,neutral
1626243,neutral
1626234,neutral
1626221,neutral
1626215,neutral
1626207,neutral
1626198,neutral
1626186,neutral
1626176,neutral
1626166,neutral
1626154,neutral
1626135,positive
1626100,neutral
1626081,neutral
1626070,neutral
1626059,neutral
1626044,neutral
1626033,neutral
1626008,neutral
1625994,neutral
1625975,neutral
1625950,neutral
1625927,neutral
1625917,neutral
1625893,positive
1625881,neutral
1625871,neutral
1625868,neutral
1625793,neutral
1625784,neutral
1625772,neutral
1625767,neutral
1625756,neutral
1625735,neutral
1625721,neutral
1625706,neutral
1625697,neutral
1625679,neutral
1625670,neutral
1625657,neutral
1625641,neutral
1625636,neutral
1625634,neutral
1625617,neutral
1625596,neutral
1625572,neutral
1625562,neutral
1625554,neutral
1625544,neutral
1625535,neutral
1625518,neutral
1625512,neutral
1625499,neutral
1625489,neutral
1625476,neutral
1625468,neutral
1625457,neutral
1625449,neutral
1625432,neutral
1625410,neutral
1625399,neutral
1625395,neutral
1625375,neutral
1625357,neutral
1625335,neutral
1625317,neutral
1625302,neutral
1625288,neutral
1625269,neutral
1625255,neutral
1625237,neutral
1625222,neutral
1625203,neutral
1625196,neutral
1625135,neutral
1625128,neutral
1625122,neutral
1625107,neutral
1625096,neutral
1625077,neutral
1625060,neutral
1625042,neutral
1625030,neutral
1625020,neutral
1625013,neutral
1624999,neutral
1624988,neutral
1624981,neutral
1624976,neutral
1624955,neutral
1624950,neutral
1624944,neutral
1624938,neutral
1624931,neutral
1624926,neutral
1624912,neutral
1624889,neutral
1624868,neutral
1624859,neutral
1624853,neutral
1624844,neutral
1624839,neutral
1624821,neutral
1624804,neutral
1624791,neutral
1624769,neutral
1624758,neutral
1624745,neutral
1624735,neutral
1624731,neutral
1624718,neutral
1624697,neutral
1624680,neutral
1624665,neutral
1624643,neutral
1624631,neutral
1624625,neutral
1624620,neutral
1624612,neutral
1624604,neutral
1624559,neutral
1624553,neutral
1624550,neutral
1624547,neutral
1624539,neutral
1624522,neutral
1624512,neutral
1624504,positive
1624490,neutral
1624477,neutral
1624467,neutral
1624460,neutral
1624440,neutral
1624427,neutral
1624421,neutral
1624413,neutral
1624405,neutral
1624387,neutral
1624359,neutral
1624349,neutral
1624333,neutral
1624323,neutral
1624316,neutral
1624305,neutral
1624292,neutral
1624282,neutral
1624264,neutral
1624254,neutral
1624241,neutral
1624231,neutral
1624221,neutral
1624209,neutral
1624198,neutral
1624184,neutral
1624166,neutral
1624153,neutral
1624134,neutral
1624120,neutral
1624108,neutral
1624105,neutral
1624098,neutral
1624083,neutral
1624068,neutral
1624058,neutral
1624049,neutral
1624046,neutral
1623984,neutral
1623974,neutral
1623968,neutral
1623961,neutral
1623952,neutral
1623945,neutral
1623932,neutral
1623925,neutral
1623916,positive
1623909,neutral
1623903,neutral
1623891,neutral
1623871,neutral
1623862,neutral
1623852,neutral
1623843,neutral
1623828,neutral
1623820,neutral
1623807,neutral
1623797,neutral
1623785,neutral
1623767,neutral
1623757,neutral
1623743,neutral
1623736,neutral
1623726,neutral
1623719,neutral
1623711,neutral
1623701,neutral
1623694,neutral
1623675,neutral
